2026-05-25 19:13:25,133 | DEBUG    | recommender_system | Logger inicialitzat. Fitxer de log: /home/e.bfabregaf/code/prog/projecte/projectePA/logs/log_20260525-191325.txt
2026-05-25 19:13:25,133 | INFO     | recommender_system | Inici aplicacio. dataset=books, metode=collaborative
2026-05-25 19:13:25,133 | INFO     | recommender_system | Carregant dataset 'books' des de CSV...
2026-05-25 19:13:25,155 | INFO     | recommender_system.BooksDataset | CSV de llibres carregat correctament: 10000 items des de '/home/e.bfabregaf/code/prog/projecte/projectePA/dataset/Books/Books.csv'.
2026-05-25 19:13:25,941 | INFO     | recommender_system.BooksDataset | CSV de valoracions de llibres carregat correctament: 108888 valoracions, 278858 usuaris únics des de '/home/e.bfabregaf/code/prog/projecte/projectePA/dataset/Books/Ratings.csv'.
2026-05-25 19:13:25,947 | INFO     | recommender_system | Inicialitzant recomanador 'collaborative'...
2026-05-25 19:13:25,947 | INFO     | recommender_system.CollaborativeRecommender | Preparant CollaborativeRecommender per al dataset 'books_10000' (k=5)...
2026-05-25 19:13:26,061 | INFO     | recommender_system.CollaborativeRecommender | Caché HIT — carregat des de: /home/e.bfabregaf/code/prog/projecte/projectePA/dataset/cache/collaborative_books_10000_k5.pkl
2026-05-25 19:13:26,062 | INFO     | recommender_system.CollaborativeRecommender | CollaborativeRecommender carregat des de caché (35005 usuaris, 34556 amb veïns).
2026-05-25 19:13:29,124 | INFO     | recommender_system | Accio Recomanar per usuari 276925.
2026-05-25 19:13:33,419 | INFO     | recommender_system | Accio Avaluar per usuari 276925.
2026-05-25 19:13:34,990 | INFO     | recommender_system | Sortida de l'aplicacio per entrada buida de user_id.
